EmployeeID,FirstName,LastName,Department,HireDate,Salary,Status
1001,Danielle,Anderson,IT,2024-09-23,58354,Active
1002,Angel,Hart,Sales,2015-09-27,62190,Terminated
1003,Joshua,Stone,Marketing,2021-01-08,46142,Active
1004,Jeffrey,Welch,IT,2016-05-04,68398,Active
1005,Jill,Vasquez,Finance,2022-03-21,91971,Active
1006,Erica,White,Legal,2016-07-04,81862,Active
1007,Patricia,Lynch,Marketing,2024-07-08,138668,Active
1008,Christopher,Erickson,Marketing,2023-04-13,93410,Active
1009,Robert,Krause,IT,2017-05-04,59503,Active
1010,Anthony,Smith,Engineering,2019-09-27,88456,Active
1011,Jeffery,Johnson,Finance,2015-11-06,140167,Active
1012,William,Garrett,IT,2016-11-27,122035,Active
1013,Anthony,Wilson,Finance,2015-09-29,145388,Active
1014,James,Charles,Finance,2023-08-02,48016,Active
1015,Debra,Marsh,Legal,2023-10-10,42384,Active
1016,Amy,Duarte,Marketing,2018-12-20,102320,Active
1017,Jeffrey,Gutierrez,Sales,2021-02-04,55072,Active
1018,Bridget,Cook,Legal,2022-06-24,142239,Active
1019,Lisa,Castro,Legal,2023-04-06,120018,Active
1020,Adam,Walsh,Finance,2020-04-19,80510,On Leave
1021,Linda,Smith,Operations,2019-01-05,88933,Active
1022,Helen,Harris,Marketing,2015-07-03,61826,Active
1023,Matthew,Campbell,Engineering,2016-01-29,108026,Active
1024,Eric,Tyler,Legal,2015-08-02,65518,Terminated
1025,Susan,Parker,Sales,2018-06-22,64045,Active
1026,Matthew,Hunter,Operations,2024-03-23,90876,Active
1027,Christopher,Nguyen,Operations,2021-08-04,132446,Active
1028,Colin,Smith,Engineering,2015-06-12,130102,Active
1029,Melanie,Jennings,Legal,2024-07-15,91919,Active
1030,Cassandra,Peterson,Sales,2023-05-05,139441,Active
1031,Lindsay,Ramsey,Marketing,2016-01-09,67103,Active
1032,Jessica,Gilbert,HR,2021-09-21,76188,Terminated
1033,Amanda,Johnson,Sales,2021-07-22,45845,Active
1034,Teresa,Thompson,Engineering,2017-04-08,126698,Active
1035,Nicholas,Rivera,Operations,2022-06-13,76674,Active
1036,Andrea,Morgan,Marketing,2022-05-26,59337,Active
1037,Maria,Chambers,Sales,2024-06-26,62313,Active
1038,Christine,Hendricks,HR,2017-06-25,66943,Active
1039,Michelle,Robles,HR,2017-02-07,117949,Active
1040,Barbara,Brewer,Finance,2022-08-03,40276,Active
1041,Janet,Olson,Finance,2017-02-22,91151,Active
1042,Brandon,Burton,IT,2021-05-23,57611,Active
1043,Jeremy,Mcclain,Engineering,2021-02-13,144641,Active
1044,Keith,Herrera,Legal,2018-06-07,51944,Active
1045,Christopher,Rogers,Sales,2020-12-22,92887,Active
1046,Jesse,Bowers,Sales,2022-07-25,121442,Terminated
